text,label
"Overall, the terminal interface is easy to use.",positive
This tool connected at nine o clock.,neutral
This feature ran in the terminal.,neutral
I feel good about the design.,positive
"The app has problems, but overall I am happy with it.",positive
I am annoyed by the design.,negative
I feel good about this tool.,positive
The product is slow.,negative
The service ran after the update.,neutral
The app updated during the test.,neutral
This program is fast and clean.,positive
The app displayed a message after the update.,neutral
I absolutely do not enjoy this application.,negative
The terminal interface finished during the test.,neutral
The service is hard to use.,negative
This program finished after the update.,neutral
The design closed after the update.,neutral
I clicked a button in the service.,neutral
"The service has a few nice ideas, but overall it is frustrating.",negative
I cannot stand the service.,negative
This program is a big improvement.,positive
I absolutely am pleased with the design.,positive
The design is useful.,positive
"Overall, the system is terrible.",negative
This works exactly the way I hoped.,positive
The system started yesterday.,neutral
"Overall, this application is excellent.",positive
The system opened for ten minutes.,neutral
The documentation mentions this program.,neutral
The design opened after lunch.,neutral
This software started after lunch.,neutral
The experience is bad.,negative
This feature loaded in the terminal.,neutral
I absolutely am impressed by the experience.,positive
This application ran for ten minutes.,neutral
"This program was frustrating at first, but now I like it.",positive
I really like the workflow.,positive
"Overall, the system is easy to use.",positive
The workflow saved a file at nine o clock.,neutral
I am impressed by the workflow.,positive
The interface started this morning.,neutral
The design is poorly designed.,negative
"Overall, the workflow is confusing.",negative
The terminal interface displayed a message for ten minutes.,neutral
I absolutely am disappointed with this application.,negative
This program is awful.,negative
I recommend the design.,positive
The product ran without an error.,neutral
"Overall, the update is great.",positive
I absolutely would not recommend this tool.,negative
I regret using the terminal interface.,negative
"This feature has problems, but overall I am happy with it.",positive
I absolutely do not enjoy this program.,negative
The design ran in the terminal.,neutral
The design connected during the test.,neutral
"Overall, the service is awful.",negative
The terminal interface connected during the test.,neutral
I cannot stand this feature.,negative
This application saved a file after lunch.,neutral
The service is disappointing.,negative
The documentation mentions the experience.,neutral
I recommend the app.,positive
The terminal interface is not bad.,positive
I used this tool today.,neutral
The terminal interface is disappointing.,negative
This software is reliable.,positive
The app closed this morning.,neutral
The service opened during the test.,neutral
I am pleased with the workflow.,positive
"Overall, the design is solid.",positive
I absolutely love this application.,positive
You handled that very well.,positive
I absolutely prefer the workflow.,positive
The design is worse than before.,negative
The interface keeps getting in my way.,negative
"Overall, the interface is slow.",negative
The product is pleasant.,positive
This software ran during the test.,neutral
I feel good about this program.,positive
"Overall, the workflow is excellent.",positive
The interface is hard to use.,negative
I absolutely really dislike the service.,negative
The terminal interface ran at nine o clock.,neutral
I absolutely feel good about this software.,positive
The workflow finished during the test.,neutral
I appreciate the design.,positive
The interface is not good.,negative
I cannot stand the update.,negative
The workflow is not good.,negative
I would not call the terminal interface good.,negative
This tool is a big improvement.,positive
This program is useful.,positive
The design is great.,positive
"Overall, the workflow is hard to use.",negative
This software loaded without an error.,neutral
I absolutely am happy with the update.,positive
I absolutely really like the update.,positive
"Overall, the product is frustrating.",negative
I am frustrated by the workflow.,negative
I absolutely am impressed by this tool.,positive
"Overall, the update is disappointing.",negative
This software updated in the terminal.,neutral
This feature loaded after the update.,neutral
The service displayed a message after lunch.,neutral
The system is terrible.,negative
This tool connected on my computer.,neutral
"Overall, the design is impressive.",positive
I absolutely cannot stand the interface.,negative
I expected better than this.,negative
I am disappointed with the system.,negative
"Overall, the interface is worse than before.",negative
The terminal interface ran for ten minutes.,neutral
The terminal interface saved a file on my computer.,neutral
"Overall, the terminal interface is worse than before.",negative
I am disappointed with this software.,negative
The product started yesterday.,neutral
I absolutely prefer the design.,positive
"Overall, this application is disappointing.",negative
"I expected the product to be good, but it is actually bad.",negative
"The terminal interface looked promising, but now I hate it.",negative
"Overall, the service is impressive.",positive
The experience finished without an error.,neutral
I absolutely appreciate the system.,positive
"Overall, the service is confusing.",negative
I absolutely would not recommend this application.,negative
That response was not very helpful.,negative
The service saved a file on my computer.,neutral
The workflow saved a file for ten minutes.,neutral
The interface is slow.,negative
The system ran on my computer.,neutral
The service connected at nine o clock.,neutral
The product opened this morning.,neutral
"Overall, this tool is broken.",negative
I really like the app.,positive
The interface is not bad.,positive
"Overall, this program is pleasant.",positive
I don't dislike the terminal interface.,positive
The system loaded yesterday.,neutral
This application closed after the update.,neutral
"Overall, the product is awful.",negative
The app started in the terminal.,neutral
"This application has a few nice ideas, but overall it is frustrating.",negative
The design is broken.,negative
"Overall, the terminal interface is fast and clean.",positive
The terminal interface is unpleasant.,negative
"Overall, this tool is helpful.",positive
I absolutely am frustrated by the experience.,negative
I feel good about this application.,positive
The system finished in the terminal.,neutral
This program started without an error.,neutral
"Overall, the system is smooth.",positive
This feature is awful.,negative
"Overall, this tool is smooth.",positive
This application displayed a message after the update.,neutral
"Overall, the product is wonderful.",positive
This program displayed a message this morning.,neutral
This software is confusing.,negative
I regret using the app.,negative
The experience closed this morning.,neutral
The service saved a file yesterday.,neutral
I don't dislike the workflow.,positive
This application connected in the terminal.,neutral
The product closed during the test.,neutral
This tool ran at nine o clock.,neutral
The terminal interface is easy to use.,positive
The test for the design finished at noon.,neutral
"Overall, this program is easy to use.",positive
The system started for ten minutes.,neutral
This feature closed for ten minutes.,neutral
The update is poorly designed.,negative
The system loaded after lunch.,neutral
"I tried to like this tool, but it is terrible.",negative
The interface closed on my computer.,neutral
The design is unpleasant.,negative
"Overall, the update is wonderful.",positive
The service was installed yesterday.,neutral
The workflow updated on my computer.,neutral
I really like the system.,positive
This program is bad.,negative
The interface is wonderful.,positive
"Overall, the product is useful.",positive
I do not hate the app.,positive
The experience is not terrible.,positive
"Overall, the system is worse than before.",negative
I hate the terminal interface.,negative
The interface ran for ten minutes.,neutral
The system is not useful.,negative
"Overall, the system is annoying.",negative
"I almost gave up on this software, but it turned out great.",positive
I absolutely would not recommend the interface.,negative
"Overall, the app is a big improvement.",positive
The service started on my computer.,neutral
"The app was frustrating at first, but now I like it.",positive
The terminal interface updated after the update.,neutral
The update ran in the terminal.,neutral
The experience started at nine o clock.,neutral
This program connected in the terminal.,neutral
The product saved a file yesterday.,neutral
The update is disappointing.,negative
"Overall, this feature is helpful.",positive
"Overall, the system is broken.",negative
The interface is not useful.,negative
I am impressed by the interface.,positive
The workflow updated at nine o clock.,neutral
The interface connected after lunch.,neutral
The system saved a file after the update.,neutral
"I almost gave up on the system, but it turned out great.",positive
The interface is bad.,negative
I absolutely love this program.,positive
This program is slow.,negative
This tool connected this morning.,neutral
The app finished for ten minutes.,neutral
This program loaded yesterday.,neutral
"Overall, this application is annoying.",negative
The workflow finished at nine o clock.,neutral
The update loaded at nine o clock.,neutral
"The app looked promising, but now I hate it.",negative
"Overall, the app is worse than before.",negative
The service is pleasant.,positive
The service finished after lunch.,neutral
"Overall, the system is solid.",positive
The interface is pleasant.,positive
I absolutely am unhappy with the terminal interface.,negative
I feel good about the experience.,positive
This software opened on my computer.,neutral
The interface is easy to use.,positive
I don't enjoy the service.,negative
The app is not terrible.,positive
The terminal interface updated yesterday.,neutral
The interface closed for ten minutes.,neutral
This tool opened without an error.,neutral
I absolutely feel good about the interface.,positive
"Overall, the update is bad.",negative
I absolutely am frustrated by this application.,negative
This program connected at nine o clock.,neutral
I do not hate the experience.,positive
This application is fast and clean.,positive
This tool updated after the update.,neutral
This tool started without an error.,neutral
I really like this program.,positive
This feature saved a file during the test.,neutral
This software saved a file without an error.,neutral
The model produced a prediction.,neutral
"Overall, this tool is hard to use.",negative
"Overall, the terminal interface is helpful.",positive
The update is excellent.,positive
This program displayed a message after the update.,neutral
The design loaded for ten minutes.,neutral
I absolutely really like this feature.,positive
The interface displayed a message on my computer.,neutral
This tool is not terrible.,positive
The workflow is reliable.,positive
"Overall, this feature is slow.",negative
The product opened at nine o clock.,neutral
"Overall, the experience is terrible.",negative
I absolutely am frustrated by the terminal interface.,negative
The system is great.,positive
I appreciate this program.,positive
I do not hate the update.,positive
The process completed after training.,neutral
I absolutely appreciate this software.,positive
The terminal interface is annoying.,negative
"Overall, the design is frustrating.",negative
I would not call the design bad at all.,positive
The design is not good.,negative
The service is solid.,positive
The documentation mentions the app.,neutral
This application loaded after lunch.,neutral
The service ran during the test.,neutral
I appreciate this tool.,positive
I hate this application.,negative
"This feature was frustrating at first, but now I like it.",positive
This software is smooth.,positive
The workflow started this morning.,neutral
This application is easy to use.,positive
"Overall, the update is confusing.",negative
The experience is not bad.,positive
I absolutely am pleased with this software.,positive
I do not hate this tool.,positive
The response feels cold and robotic.,negative
This feature loaded without an error.,neutral
"Overall, the service is useful.",positive
I absolutely really dislike the product.,negative
"I tried to like the design, but it is terrible.",negative
The product is fantastic.,positive
This tool ran in the terminal.,neutral
The update is helpful.,positive
"Overall, the workflow is impressive.",positive
The interface updated during the test.,neutral
The service closed in the terminal.,neutral
The workflow closed after lunch.,neutral
I cannot stand the interface.,negative
